genes,logFC,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT5G67070.1,-0.7686153406197646,5.375130996305851,29.89643251717543,4.557506202825459e-8,6.309902077764363e-7,AT5G67070,RALF34;RALFL34,RAPID ALKALINIZATION FACTOR 34;ralf-like 34
AT4G39480.1,-2.747250430608122,-0.16235785929866298,29.882790515011397,4.589685923641507e-8,6.351837990370754e-7,AT4G39480,CYP96A9,"""cytochrome P450, family 96, subfamily A, polypeptide 9"""
AT5G56210.1,-0.8938179068533647,3.5978460739205156,29.871363476404763,4.616815967900788e-8,6.386753814466953e-7,AT5G56210,WIP2,WPP domain interacting protein 2
AT1G49950.3,0.5914129345531094,5.192581870960891,29.857872866828007,4.649052224166283e-8,6.428701762816273e-7,AT1G49950,ATTRB1;TRB1,TELOMERE REPEAT BINDING FACTOR 1;telomere repeat binding factor 1
AT3G17350.1,-0.878640530456607,3.1912395007208407,29.85106800147556,4.6653981398907817e-8,6.448651102287539e-7,AT3G17350,NA,NA
AT5G27760.1,1.1517218240706322,4.64065447825145,29.837752205895583,4.697550675831316e-8,6.490423429658054e-7,AT5G27760,AtHIGD2,HYPOXIA-INDUCED GENE DOMAIN 2
AT1G14330.1,0.8074897774553296,4.2986454916520715,29.812180536683677,4.759920306159164e-8,6.57389404552241e-7,AT1G14330,NA,NA
AT3G01820.1,0.9457187627016619,4.91863505409642,29.805493205210738,4.776367201743315e-8,6.59389855024564e-7,AT3G01820,NA,NA
AT3G54600.1,-1.0329398879536895,5.19920662522285,29.793269643942306,4.806577252861821e-8,6.632879213579585e-7,AT3G54600,DJ-1f;DJ1F,NA;NA
AT4G15260.1,0.8097884075840174,4.707540099385028,29.78450168689288,4.8283647523444505e-8,6.660209868976938e-7,AT4G15260,NA,NA
AT1G01940.1,0.7181814923974458,4.438589512361295,29.783288402868024,4.8313874253820104e-8,6.661644656039652e-7,AT1G01940,NA,NA
AT2G29065.1,1.1641786903997589,2.3771540010842656,29.772383619369386,4.858639915514238e-8,6.696473274860929e-7,AT2G29065,NA,NA
AT3G60966.1,4.2854919203643975,-0.7216834354725905,29.766418681188416,4.8736121910726486e-8,6.71435493417069e-7,AT3G60966,NA,NA
AT3G10740.1,-0.6295411240292116,6.547682158273636,29.763239410515155,4.881611185933847e-8,6.722618814333981e-7,AT3G10740,ARAF;ARAF1;ASD1;ATASD1,ALPHA-L-ARABINOFURANOSIDASE;ALPHA-L-ARABINOFURANOSIDASE 1;alpha-L-arabinofuranosidase 1;ARABIDOPSIS THALIANA ALPHA-L-ARABINOFURANOSIDASE 1
AT3G49350.1,0.7447042866701118,4.654896101067911,29.74678888712273,4.92321103828008e-8,6.777129754538601e-7,AT3G49350,NA,NA
AT1G51400.1,-1.197381255709616,7.367236847321828,29.744524271242483,4.9289655118910766e-8,6.782272691669285e-7,AT1G51400,NA,NA
AT1G54270.1,0.5873252791081807,7.109629299179091,29.73106514640038,4.9633049600899815e-8,6.82672833683764e-7,AT1G54270,EIF4A-2,eif4a-2
AT1G28610.2,-1.1580879457930602,3.362975138353407,29.706436208118937,5.0267647611080254e-8,6.911184513205887e-7,AT1G28610,NA,NA
AT5G62180.1,0.9939026179051529,2.8673410473913514,29.705482852106545,5.029237488476697e-8,6.911756159009978e-7,AT5G62180,AtCXE20;CXE20,carboxyesterase 20;carboxyesterase 20
AT4G34030.1,-0.7599498551288065,5.6576579616567155,29.701954641080434,5.0383992439250495e-8,6.921516410235876e-7,AT4G34030,MCCB,3-methylcrotonyl-CoA carboxylase
AT2G17300.1,-1.2350611476576037,3.2438910352392614,29.698454232502122,5.0475053288466865e-8,6.931192237838428e-7,AT2G17300,NA,NA
AT1G77840.1,0.6079057831706182,6.036559382931652,29.658478482953697,5.152676475734016e-8,7.072722015425424e-7,AT1G77840,NA,NA
AT1G16540.1,0.6804216741173764,4.268716918681385,29.656431258218447,5.1581211784051424e-8,7.077304525797043e-7,AT1G16540,ABA3;ACI2;ATABA3;AtLOS5;LOS5;SIR3,ABA DEFICIENT 3;ALTERED CHLOROPLAST IMPORT 2;NA;NA;LOW OSMOTIC STRESS 5;SIRTINOL RESISTANT 3
AT2G12550.1,0.81534288765466,3.618602007661999,29.65559772069013,5.160339666540387e-8,7.07745850918735e-7,AT2G12550,NUB1,homolog of human NUB1
AT2G33510.2,-1.0106262475772052,2.740805012987552,29.622151717410585,5.250150553928599e-8,7.197697222077062e-7,AT2G33510,CFL1,"NA"
AT2G03800.1,0.7881475940286418,4.310604279040071,29.61646605394243,5.265572980424052e-8,7.215896545196125e-7,AT2G03800,GEK1,GEKO1
AT5G13210.1,1.236236758264796,2.2373092388790594,29.609498100293603,5.284535547404363e-8,7.238930430651504e-7,AT5G13210,NA,NA
AT1G66090.1,2.847716039403046,4.455494569534483,29.606848049655607,5.2917653322689466e-8,7.245880142416509e-7,AT1G66090,NA,NA
AT2G38960.3,0.7131036657147279,4.55463481900812,29.598237130235923,5.315325858936334e-8,7.275176354866749e-7,AT2G38960,AERO2;ERO2,endoplasmic reticulum oxidoreductins 2;endoplasmic reticulum oxidoreductins 2
AT4G04920.1,0.7171289607545681,5.643055232487009,29.566065590751077,5.4042847780356516e-8,7.393924149493239e-7,AT4G04920,AtSFR6;IEN1;MED16;SFR6;YID1,NA;INSENSITIVE TO EXOGENOUS NAD+ 1;MEDIATOR 16;SENSITIVE TO FREEZING 6;YELLOW AND SENSITIVE TO IRON-DEFICIENCY 1
AT4G38660.1,-0.6991106892306875,4.417772403895624,29.558349617718463,5.425841405003988e-8,7.420395722057144e-7,AT4G38660,NA,NA
AT1G04130.1,0.8713559490887725,3.420387534940247,29.552467099882037,5.4423336441525266e-8,7.439922502474093e-7,AT1G04130,AtTPR2;TPR2,NA;tetratricopeptide repeat 2
AT1G15215.2,-0.8746033254308955,3.0392860993766027,29.54477847643046,5.463965232511955e-8,7.466456272585063e-7,AT1G15215,DTF1;SHH1,DNA-binding transcription factor 1;SAWADEE homeodomain homolog 1
AT3G12685.1,-0.9519592610160285,3.2784173917842505,29.526805620375775,5.5148676799016584e-8,7.532950560164859e-7,AT3G12685,NA,NA
AT5G11730.1,0.7673310813445261,4.206183542901538,29.518278966760846,5.5391826397721304e-8,7.563088787550716e-7,AT5G11730,NA,NA
AT1G15010.1,2.317342594651404,1.3518798470757287,29.512813722172904,5.554824015417919e-8,7.581364604633344e-7,AT1G15010,NA,NA
AT2G30640.1,1.3696793947688533,1.3754282429780398,29.51194772560195,5.5573065315039275e-8,7.581673328119974e-7,AT2G30640,MUG2,MUSTANG 2
AT1G51860.1,0.8229847948507008,4.173631979594183,29.45190107980787,5.732178354107384e-8,7.817072120727124e-7,AT1G51860,NA,NA
AT5G48485.1,-0.8905991847440391,4.069875701004707,29.449555583188314,5.739119840599125e-8,7.823363281290539e-7,AT5G48485,DIR1,DEFECTIVE IN INDUCED RESISTANCE 1
AT5G63800.1,-0.6740803338157486,6.704724153441462,29.445003343116667,5.752616218986585e-8,7.838581110721298e-7,AT5G63800,BGAL6;MUM2,beta-galactosidase 6;MUCILAGE-MODIFIED 2
AT1G58030.1,-0.6571883630877999,6.323971806775059,29.434874363879757,5.7827605948550015e-8,7.87646216085601e-7,AT1G58030,AtCAT2;CAT2,NA;cationic amino acid transporter 2
AT1G10850.1,-0.6636106698746818,4.572519825757784,29.42948739578952,5.7988569117764204e-8,7.89518597850532e-7,AT1G10850,NA,NA
AT5G08200.1,0.6602651290405736,4.763747955711832,29.428077506249856,5.803077083301144e-8,7.897731719444514e-7,AT5G08200,NA,NA
AT1G70740.1,0.7725797751425038,4.337921698702798,29.420823528775536,5.8248388473117894e-8,7.924139066695171e-7,AT1G70740,NA,NA
AT2G46160.1,1.2809227222493618,2.565644443394236,29.398868400139552,5.891203237087568e-8,8.011178113015639e-7,AT2G46160,NA,NA
AT5G13160.1,0.569855689631189,5.151009051390018,29.394907536584306,5.90325626688748e-8,8.022421635434083e-7,AT5G13160,PBS1,avrPphB susceptible 1
AT1G26690.1,0.978175847392766,3.8348799194104224,29.394582524303026,5.904246385461725e-8,8.022421635434083e-7,AT1G26690,NA,NA
AT2G12190.1,-1.6293117122287122,1.1420895723602769,29.374678282612273,5.965200929657947e-8,8.101967729925883e-7,AT2G12190,NA,NA
AT4G17670.1,0.9149516868651063,3.531175627256423,29.37238561776886,5.972262335255923e-8,8.108281171283618e-7,AT4G17670,NA,NA
AT1G52280.1,0.7409870097172403,4.857404484407005,29.37050695840899,5.978054847135905e-8,8.112867486811821e-7,AT1G52280,AtRABG3d;RABG3d,RAB GTPase homolog G3D;RAB GTPase homolog G3D
AT3G51400.1,-1.0134710170754666,2.4711937152138934,29.355750609728982,6.023749613800749e-8,8.171579916145853e-7,AT3G51400,NA,NA
AT1G09560.1,0.8309486185402101,7.768891932735644,29.346195602131658,6.053524318553604e-8,8.208657148992664e-7,AT1G09560,GLP5;PDGLP1,germin-like protein 5;PLASMODESMAL GERMIN-LIKE PROTEIN 1
AT1G59124.1,0.6529816106391748,7.007169068712398,29.33777760337118,6.079878108179055e-8,8.241067534934756e-7,AT1G59124,NA,NA
AT4G22820.1,0.788288899886896,4.69380713387273,29.336846696050284,6.082799501046525e-8,8.241702775571183e-7,AT4G22820,AtSAP9;SAP9,Stress Associated Protein 9;Stress Associated Protein 9
AT5G19940.1,-0.7289440970635944,7.1875754958892255,29.3268936108457,6.114122527361828e-8,8.280803916340676e-7,AT5G19940,NA,NA
AT1G02360.1,1.2017455992422437,4.908686952532666,29.319629722162148,6.13708443667012e-8,8.305363629361652e-7,AT1G02360,NA,NA
AT5G16560.1,1.290599988012538,5.871444458048938,29.31959337866131,6.137199539225338e-8,8.305363629361652e-7,AT5G16560,KAN;KAN1,KANADI;KANADI 1
AT2G15830.1,-1.5191385380770772,2.2449389764499377,29.309132761382386,6.170419155927657e-8,8.346957507144972e-7,AT2G15830,NA,NA
AT5G21930.1,-0.8978784564610692,6.515299836504748,29.302217567974996,6.192478482842635e-8,8.373427041467936e-7,AT5G21930,ATHMA8;HMA8;PAA2,ARABIDOPSIS HEAVY METAL ATPASE 8;HEAVY METAL ATPASE 8;P-type ATPase of Arabidopsis 2
AT1G54780.1,-0.9185496356932644,8.290367298812207,29.29049376271359,6.23005787280801e-8,8.420852962272516e-7,AT1G54780,AtTLP18.3;TLP18.3,NA;thylakoid lumen protein 18.3
AT5G48530.1,1.3004847896125213,3.5029845442431395,29.287322935600326,6.240260815484997e-8,8.431252268674181e-7,AT5G48530,NA,NA
AT1G04120.1,0.676127882282495,7.077939176875898,29.249566451537106,6.363046204044343e-8,8.593692867696865e-7,AT1G04120,ABCC5;ATABCC5;ATMRP5;MRP5;MRP5,ATP-binding cassette C5;Arabidopsis thaliana ATP-binding cassette C5;multidrug resistance-associated protein 5;MULTIDRUG RESISTANCE PROTEIN 5;multidrug resistance-associated protein 5
AT4G14450.1,3.3891232890096448,0.45455338368576637,29.23898711575051,6.39788270685793e-8,8.637270177414229e-7,AT4G14450,PH1,"NA"
AT3G52800.1,0.7925414488368293,6.161745770911174,29.233801274353425,6.415028800340392e-8,8.656939668636058e-7,AT3G52800,NA,NA
AT3G58490.1,0.6583317777064029,4.619185313569243,29.224376711867194,6.446307452079709e-8,8.695657286422415e-7,AT3G58490,AtSPP1;LPPdelta;SPP1,NA;lipid phosphate phosphatase delta;sphingoid phosphate phosphatase 1
AT1G77410.1,1.0347763834673727,2.721160598844891,29.220699291390414,6.458553640993102e-8,8.708680555563813e-7,AT1G77410,BGAL16,beta-galactosidase 16
AT2G32380.1,1.0413787536128989,3.347062330940173,29.21288314367882,6.484659696638614e-8,8.740374453527906e-7,AT2G32380,NA,NA
AT2G19810.1,-1.0631675040874484,3.3695804818095323,29.205372561097352,6.509844765722595e-8,8.770802077698903e-7,AT2G19810,AtOZF1;AtTZF2;OZF1;TZF2,NA;NA;Oxidation-related Zinc Finger 1;tandem zinc finger 2
AT1G18870.1,-1.1345245959713208,2.6244369815172353,29.185392470885542,6.577321739945686e-8,8.85816293008637e-7,AT1G18870,ATICS2;ICS2,ARABIDOPSIS ISOCHORISMATE SYNTHASE 2;isochorismate synthase 2
AT5G24430.1,0.9507733542666748,4.963024028880931,29.18303020707568,6.585345788297695e-8,8.865416233108139e-7,AT5G24430,NA,NA
AT4G35600.2,1.0635019140396962,5.259289112919653,29.173410328515388,6.618123654489145e-8,8.905974811299329e-7,AT4G35600,CST;CX32;Kin4,CAST AWAY;CONNEXIN 32;kinase 4
AT3G10380.1,0.6338111443813185,7.269154936644657,29.172206280148494,6.622237709102773e-8,8.90794361494281e-7,AT3G10380,ATSEC8;SEC8,SUBUNIT OF EXOCYST COMPLEX 8;subunit of exocyst complex 8
AT3G44350.2,3.463252889671344,-1.170699561142993,29.170985804357095,6.62641050893513e-8,8.909989832782641e-7,AT3G44350,anac061;NAC061,NAC domain containing protein 61;NAC domain containing protein 61
AT3G58640.1,0.5627623446868639,6.457128566218315,29.158821488068085,6.668144493874683e-8,8.962519651327083e-7,AT3G58640,NA,NA
AT3G56010.1,-0.6565163346376597,5.735614169773954,29.15330164077965,6.687169049499538e-8,8.984496377500338e-7,AT3G56010,NA,NA
AT1G15570.1,-0.6343658099744702,4.448262861691004,29.136656353680625,6.744868150931155e-8,9.058395667769331e-7,AT1G15570,CYCA2;3,CYCLIN A2;3
AT2G40690.1,-0.8115558318916656,3.593013807224247,29.133247866387766,6.756744697642196e-8,9.070720548548664e-7,AT2G40690,GLY1;SFD1,NA;SUPPRESSOR OF FATTY ACID DESATURASE DEFICIENCY 1
AT1G62305.1,1.294193671721781,3.4449773060084916,29.131999465646523,6.761099870943317e-8,9.072942406686795e-7,AT1G62305,NA,NA
AT1G02800.1,-1.3315964206228164,1.8213328293983684,29.12002267931483,6.803025309468454e-8,9.125559139671018e-7,AT1G02800,ATCEL2;CEL2;CEL2,cellulase 2;NA;cellulase 2
AT4G02260.1,-0.6193073701929678,6.47696225616139,29.106706412451047,6.84994557171283e-8,9.184831249030109e-7,AT4G02260,AT-RSH1;ATRSH1;RSH1,RELA-SPOT HOMOLOG 1;RELA/SPOT HOMOLOG 1;RELA/SPOT homolog 1
AT1G13880.1,1.0314551080696652,5.156660054363089,29.104451123979963,6.857924194713698e-8,9.190326090869839e-7,AT1G13880,ELM2,"NA"
AT1G47580.1,-0.8971923075023479,3.6443745294207255,29.104002146644078,6.859513670585547e-8,9.190326090869839e-7,AT1G47580,DYW1,DYW domain protein 1
AT2G03510.1,0.6000626607072105,5.200528642551478,29.10026056159542,6.872774046243874e-8,9.204422220083167e-7,AT2G03510,NA,NA
AT4G17270.1,0.6076588588814713,5.648346259140917,29.09551386926893,6.88963354283965e-8,9.223325350856491e-7,AT4G17270,NA,NA
AT4G32340.1,-0.9400020588763824,6.411953510327635,29.081868133363244,6.938332184528979e-8,9.284820313203613e-7,AT4G32340,NA,NA
AT1G60800.1,-0.8923343775277839,6.064535413111966,29.07881844185919,6.949262934124982e-8,9.295745744923075e-7,AT1G60800,AtNIK3;NIK3,NA;NSP-interacting kinase 3
AT2G37770.2,2.1407766889219833,3.1119915987796687,29.06931081781521,6.98345117154362e-8,9.337760695034172e-7,AT2G37770,AKR4C9;ChlAKR,Aldo-keto reductase family 4 member C9;Chloroplastic aldo-keto reductase
AT1G26130.2,0.7316442483806896,4.44189884834305,29.043556127286937,7.076910812030676e-8,9.458964085356196e-7,AT1G26130,NA,NA
AT5G20630.1,-1.0811610197746109,10.061838078957667,29.036927047153767,7.101168817976372e-8,9.487613305035469e-7,AT5G20630,ATGER3;GER3;GLP3;GLP3A;GLP3B,ARABIDOPSIS THALIANA GERMIN 3;germin 3;GERMIN-LIKE PROTEIN 3;NA;NA
AT5G61780.1,0.7175040707787376,7.362231433681786,29.029029231314766,7.13017833364197e-8,9.522585547179548e-7,AT5G61780,AtTudor2;TSN2;Tudor2,Arabidopsis thaliana TUDOR-SN protein 2;TUDOR-SN protein 2;TUDOR-SN protein 2
AT4G10340.1,-0.9022747230387418,10.492461017763892,29.026704834834618,7.138738683247606e-8,9.530230323181807e-7,AT4G10340,LHCB5,light harvesting complex of photosystem II 5
AT5G57170.2,-1.0123551413484513,3.992757773167722,29.00748776469516,7.209907485260789e-8,9.621418241450874e-7,AT5G57170,NA,NA
AT3G52970.2,-2.889380644864997,0.05832604680192079,28.996614077086992,7.25049176068653e-8,9.671735773822499e-7,AT3G52970,CYP76G1,"""cytochrome P450, family 76, subfamily G, polypeptide 1"""
AT3G29590.1,-3.613668685673914,-0.7502719380625712,28.995823664577365,7.253450755905716e-8,9.671843345235868e-7,AT3G29590,AT5MAT,"NA"
AT5G63140.1,-1.002320407127305,3.6691835883711965,28.972204678728552,7.342431501981996e-8,9.78660782743352e-7,AT5G63140,ATPAP29;PAP29;PAP29,purple acid phosphatase 29;NA;purple acid phosphatase 29
AT5G22050.2,-0.7704742767789006,4.770654843884342,28.95057251467793,7.424886500077857e-8,9.892586684203655e-7,AT5G22050,NA,NA
AT3G07670.1,-0.6831752829074574,5.236941598593085,28.94623832362715,7.441518310200088e-8,9.910816419316028e-7,AT3G07670,NA,NA
AT3G59220.1,1.3070005943964682,3.9601456855937145,28.93007793333201,7.503861144098096e-8,9.989886773533449e-7,AT3G59220,ATPIRIN1;PRN;PRN1,NA;pirin;NA
AT5G66052.1,-0.8197384574932027,5.1357597215886734,28.927496197657806,7.513869217138848e-8,9.99924884888315e-7,AT5G66052,NA,NA
AT1G30410.1,0.6802737874927717,6.035586188506851,28.92392822463381,7.527722447629357e-8,1.0013718514855173e-6,AT1G30410,ABCC12;ATMRP13;MRP13,ATP-binding cassette C12;multidrug resistance-associated protein 13;multidrug resistance-associated protein 13
AT5G03490.1,0.848972103369972,3.8117523278971674,28.91672200431918,7.555779850100987e-8,1.004706428662815e-6,AT5G03490,UGT89A2,UDP glycosyltransferase 89A2
AT5G44240.1,0.6393663356152943,6.341541413003952,28.90871557628735,7.58707576133512e-8,1.0084688280553114e-6,AT5G44240,ALA2,aminophospholipid ATPase 2
AT5G13000.1,-0.5955927433648652,7.449762809531734,28.89517814174627,7.640287292655734e-8,1.0151401091649583e-6,AT5G13000,ATGSL12;CALS3;gsl12;GSL12,glucan synthase-like 12;callose synthase 3;NA;glucan synthase-like 12
AT3G04070.1,1.3671421263376369,4.23845549964574,28.88506916600658,7.680266333776141e-8,1.0200486535476123e-6,AT3G04070,ANAC047;NAC047;SHG;SHYG,NAC domain containing protein 47;NAC domain containing protein 47;SPEEDY HYPONASTIC GROWTH;SPEEDY HYPONASTIC GROWTH
AT1G36940.2,-0.9878702829268833,2.7832502121294356,28.87071903508269,7.737378566747447e-8,1.0272279517971067e-6,AT1G36940,NA,NA
AT5G54530.1,-1.880276332938152,1.5729971665412392,28.866252703763614,7.755240852764396e-8,1.0291927453972719e-6,AT5G54530,NA,NA
AT2G24550.1,-0.8646037634702131,5.138582069219973,28.860567880413875,7.778036055853627e-8,1.0318103732680362e-6,AT2G24550,NA,NA
AT1G71520.1,4.816763603973686,1.0787049616793376,28.84288632457191,7.849366218682446e-8,1.040861892976194e-6,AT1G71520,NA,NA
AT2G41550.1,-1.0035049785734795,2.9054817226434073,28.83476148980655,7.882362508341137e-8,1.0448250296066227e-6,AT2G41550,NA,NA
AT3G62200.1,0.7407421577378721,4.643371119482514,28.82859614550345,7.907493701730611e-8,1.047742915479306e-6,AT3G62200,NA,NA
AT4G33430.2,0.7397095979653195,6.698814987459324,28.821516595802997,7.936450423970313e-8,1.0511651838638173e-6,AT4G33430,ATBAK1;ATSERK3;BAK1;ELG;RKS10;SERK3,NA;SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 3;BRI1-associated receptor kinase;ELONGATED;RECEPTOR KINASES LIKE SERK 10;SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 3
AT2G46710.1,-0.807444481802732,5.159034229154716,28.813016273040756,7.971358791847482e-8,1.055372727043574e-6,AT2G46710,ROPGAP3,ROP guanosine triphosphatase (GTPase)-activating protein 3
AT4G26550.1,0.8648152546304295,3.558394369547331,28.808732170241164,7.989010631490792e-8,1.0572931675437322e-6,AT4G26550,NA,NA
AT3G23070.1,-0.7301529200684821,5.879976727012006,28.79033198625104,8.065271584423943e-8,1.066965573936273e-6,AT3G23070,ATCFM3A;CFM3A,NA;CRM family member 3A
AT2G02800.1,0.8809568452614865,6.091191226104047,28.77804501248833,8.116601626339841e-8,1.0733335216382187e-6,AT2G02800,APK2B;Kin2,protein kinase 2B;kinase 2
AT4G27600.1,-0.7330770917631395,6.957798016817891,28.76443090723047,8.173858265649472e-8,1.0804798797889598e-6,AT4G27600,NARA5,GENES NECESSARY FOR THE  ACHIEVEMENT OF RUBISCO ACCUMULATION 5
AT1G09950.1,2.821391500839869,1.3343791395549571,28.76222704508487,8.183165002037469e-8,1.081284743997102e-6,AT1G09950,RAS1,RESPONSE TO ABA AND SALT 1
AT1G73090.2,-0.9387801559734075,3.6196082081507113,28.754528886169272,8.21575712142811e-8,1.0851645864552964e-6,AT1G73090,NA,NA
AT3G16510.1,1.2937227480091475,3.5084247537246367,28.704227122885914,8.43194795712205e-8,1.1132821817493718e-6,AT3G16510,NA,NA
AT3G60110.1,0.8377503949870543,3.408782457201568,28.68894989113975,8.498729386691057e-8,1.1216586993385423e-6,AT3G60110,NA,NA
AT1G08650.1,0.8372562654959887,5.308161398051626,28.680828924545636,8.53444408025955e-8,1.1259300745382074e-6,AT1G08650,ATPPCK1;PPCK1,PHOSPHOENOLPYRUVATE CARBOXYLASE KINASE 1;phosphoenolpyruvate carboxylase kinase 1
AT5G03555.1,0.6908817316029408,4.204563426888736,28.656995738890494,8.640129261856845e-8,1.1394255237712468e-6,AT5G03555,AtNCS1;NCS1;PLUTO,NA;nucleobase cation symporter 1;plastidic nucleobase transporter
AT4G27950.1,1.0895078339982038,3.2522672785326425,28.655400180332542,8.647251216745127e-8,1.139917361259591e-6,AT4G27950,CRF4,cytokinin response factor 4
AT1G66820.1,-1.2071026098373865,3.8538344829747166,28.652822793457027,8.658768100579277e-8,1.1409879439829995e-6,AT1G66820,NA,NA
AT4G11170.1,2.9192242671384534,1.6858206665745485,28.647750002449143,8.681480448560657e-8,1.1435323639064493e-6,AT4G11170,RMG1,Resistance Methylated Gene 1
AT3G03000.1,0.9327634615496769,3.13029550949929,28.645181476772258,8.693003234310427e-8,1.144601468179071e-6,AT3G03000,NA,NA
AT1G30570.1,-0.754515522416959,4.123012200231811,28.62006612546691,8.806485122498537e-8,1.159089357956114e-6,AT1G30570,HERK2,hercules receptor kinase 2
AT1G09710.2,-1.0528707767712697,2.6995074851468472,28.598034439036187,8.907255319943564e-8,1.17145347052473e-6,AT1G09710,NA,NA
AT2G38330.1,-0.8973112885407307,4.694557028482295,28.598003589282634,8.907397229899069e-8,1.17145347052473e-6,AT2G38330,NA,NA
AT2G36580.1,0.7531884620071817,6.8814703328023406,28.592546496794906,8.932535726765043e-8,1.1742999432345814e-6,AT2G36580,NA,NA
AT2G23770.1,1.1056924748751886,4.60260683153668,28.589930622203198,8.9446111389893115e-08,1.1753635697983888e-6,AT2G23770,AtLYK4;LYK4,NA;LysM-containing receptor-like kinase 4
AT4G15236.1,1.3026319269083377,1.5840788450341703,28.58927889280233,8.947622199703227e-8,1.1753635697983888e-6,AT4G15236,ABCG43,ATP-binding cassette G43
AT1G58270.1,-0.7056229618552092,6.141655279834042,28.56425703892343,9.063997205890524e-8,1.1901853619082978e-6,AT1G58270,ZW9,"NA"
AT4G28180.1,-1.2033199004546364,3.325442161808283,28.555819908507953,9.103578703634596e-8,1.1949158265606628e-6,AT4G28180,NA,NA
AT1G03160.1,-0.6102764997407564,6.0807098392261185,28.55219490570258,9.120637996152627e-8,1.1966875359106622e-6,AT1G03160,FZL,FZO-like
AT3G05160.1,-1.061034571355783,5.013062341490625,28.521250508737033,9.267572601794859e-8,1.2154917040027745e-6,AT3G05160,NA,NA
AT4G21510.1,-1.5294441077584022,1.7382612242679716,28.508313887781483,9.329701037976112e-8,1.2231627556694238e-6,AT4G21510,AtFBS2;FBS2,NA;F-box stress induced 2
AT2G10950.1,0.6916103246586024,4.627818873374739,28.50595223228457,9.341087913571129e-8,1.2241779877995986e-6,AT2G10950,NA,NA
AT3G22104.1,-0.849989382302756,4.005219128726445,28.438485626565342,9.672330829819172e-8,1.2670941931523735e-6,AT3G22104,NA,NA
AT3G63160.1,-0.8179680334694284,9.208044656376927,28.430330795952045,9.713158062638428e-8,1.2719467545626518e-6,AT3G63160,OEP6,outer envelope protein 6
AT2G21910.1,6.604698550798293,-2.1573250878286934,28.428302875933824,9.72333764553192e-8,1.2727837614536952e-6,AT2G21910,CYP96A5,"""cytochrome P450, family 96, subfamily A, polypeptide 5"""
AT5G16120.2,-0.791846646381293,4.829637952977743,28.41269615465456,9.802037515376319e-8,1.2825859213071459e-6,AT5G16120,MAGL15,"NA"
AT5G43020.1,-0.8151902949476632,4.377508697101967,28.38174639320469,9.96000069004902e-8,1.3027479298833289e-6,AT5G43020,NA,NA
AT1G55960.1,-0.6218530794689647,4.6200474199519475,28.37731974070173,9.982801257934857e-8,1.3052221317864865e-6,AT1G55960,NA,NA
AT1G44130.1,2.7033483657167294,0.752201457770688,28.366299976143203,1.0039788707364726e-7,1.3121625054253968e-6,AT1G44130,NA,NA
AT4G24010.1,-2.801126763230955,0.16817506459120352,28.36519698781769,1.0045510601827313e-7,1.312399872638419e-6,AT4G24010,ATCSLG1;CSLG1,ARABIDOPSIS THALIANA CELLULOSE SYNTHASE LIKE G1;cellulose synthase like G1
AT4G01720.1,1.6016415709246221,5.664700775755123,28.357332266949086,1.0086404689153969e-7,1.3172303550911452e-6,AT4G01720,AtWRKY47;WRKY47,NA;NA
AT5G09820.2,-1.0572678458976403,3.758149390061012,28.31311442919678,1.0319448824533162e-7,1.3471411010177285e-6,AT5G09820,FBN5,Fibrillin5
AT5G57100.1,-0.8072522573914439,3.9195720448475777,28.297335678753356,1.0403908430746135e-7,1.3576393440385694e-6,AT5G57100,NA,NA
AT1G14440.1,-0.8855744463440768,4.165691597128218,28.29114098960168,1.043725606103159e-7,1.3614622599486936e-6,AT1G14440,AtHB31;FTM2;HB31;ZHD4,homeobox protein 31;FLORAL TRANSITION AT THE MERISTEM2;homeobox protein 31;ZINC FINGER HOMEODOMAIN 4
AT3G15510.1,-1.5535754460917839,3.4903803791741552,28.286411868966027,1.0462786232633745e-7,1.3642628753937101e-6,AT3G15510,ANAC056;ATNAC2;NAC2;NARS1,Arabidopsis NAC domain containing protein 56;NAC domain containing protein  2;NAC domain containing protein  2;NAC-REGULATED SEED MORPHOLOGY 1
AT2G20900.1,0.6015938422839497,5.36515250650089,28.274965424855772,1.052483923405959e-7,1.371821753075525e-6,AT2G20900,ATDGK5;DGK5,NA;diacylglycerol kinase 5
AT2G29450.1,1.1007418205265729,6.542515014432189,28.27405437023119,1.052979402266829e-7,1.371935396470337e-6,AT2G29450,AT103-1A;ATGSTU1;ATGSTU5;GSTU5,NA;ARABIDOPSIS THALIANA GLUTATHIONE S-TRANSFERASE TAU  1;glutathione S-transferase tau  5;glutathione S-transferase tau  5
AT3G21520.1,2.4559197122267737,0.09142949437064572,28.270155052001147,1.0551026966731686e-7,1.373672584894951e-6,AT3G21520,AtDMP1;DMP1,Arabidopsis thaliana DUF679 domain membrane protein 1;DUF679 domain membrane protein 1
AT3G22930.1,1.1703552197147353,3.2663651423092763,28.270104353019676,1.0551303320081748e-7,1.373672584894951e-6,AT3G22930,AtCML11;CML11,NA;calmodulin-like 11
AT3G26830.1,2.3762684570378294,4.268234273229588,28.248965995013652,1.0667159948608311e-7,1.3882180813057183e-6,AT3G26830,CYP71B15;PAD3,NA;PHYTOALEXIN DEFICIENT 3
